Topic,Question,Subquestion,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6
1. Basic UDI-DI information,"Applicable regulation (list, single choice)",,MDR (REGULATION (EU) 2017/745 on medical devices),,,,,
,Basic UDI-DI main information,"Issuing entity (list, single choice)",GS1,,,,,
,Basic UDI-DI main information,Basic UDI-DI code (text),599302877PAYU9,,,,,
,Is it a System or Procedure Pack which is a Device in itself? (Y/N),,No,,,,,
,Special device,No,,,,,,
,"Risk class (list, single choice)",,Class IIb,,,,,
,Implantable (Y/N),,Yes,"Is the device a suture, staple, dental filling, dental brace, tooth crown, screw, wedge, plate, wire, pin, clip or connector? (Y/N)",No,,,
,Measuring  function (Y/N),,No,,,,,
,Reusable surgical instruments (Y/N),,No,,,,,
,Active device (Y/N),,No,,,,,
,Device intended to administer and/or remove medicinal product (Y/N),,No,,,,,
,Device model applicable (Y/N),,Yes,Device Model (text-->),877PAY,,,
,Device model applicable (Y/N),,,Device Name (text),"POSTERIOR CHAMBER INTRAOCULAR LENSES, PSEUDOPHAKIC, HYDROPHOBIC, PRELOADED IN A SINGLE USE INJECTOR",,,
2. Certificate infromation,"Certificate Type (list, single choice)",,(MDR) EU technical documentation assessment certificate (Annex IX Chapter II),,,,,
,Enter NB number or name: (text-->),,2265,,,,,
,EU type-examination certificate if applicable (Y/N),,Yes,,,,,
,Certificate number: (text),,Kriszti,,,,,
,Revision number: (text),,n/a?,,,,,
3. UDI-DI Identification information,UDI-DI identification,"Issuing Entity: (list, single choice)",GS1,,,,,
,,UDI-DI code: (text),05993022103710,,,,,
,UDI-DI from another entity (secondary) applicable (Y/N),,No,,,,,
,*Enter a nomenclature code (EMDN code): (text),,"(Advanced search available:based on EMDN code and EMDN Description, FIND function)",P030102090201,"P030102090201IOLs, APHAKIC, MONOFOCAL, ASPHERIC, HYDROPHOBIC ACRYLIC",,,
,Trade name applicable (Y/N),,Yes,Trade name: (text),Bi-Flex POBMA,,,
,Trade name applicable (Y/N),,,"Select the language: (list, single choice)",all language,,,
,Trade name applicable (Y/N),,,(+Add a trade name in another language),,,,
,Reference/Catalogue number: (text),,05993022103710,,,,,
,Is the device directly marked? (Y/N),,No,,,,,
,Quantity of device: (nr.),,1,,,,,
,"Type of UDI-PI (list, multiple choice)",,Lot or Batch number,,,,,
,,,Serial number,,,,,
,,,Expiration date,,,,,
,URL for additional information (as electronic instructions for use): (text),,https://medicontur.com/professionals/documents/eifus,,,,,
,"UDI-DI status (list, single choice)",,On the EU market,,,,,
4. UDI-DI charachteristics,Clinical size applicable (Y/N),,No,,,,,
,Labelled as single use (Y/N),,Yes,,,,,
,Need for sterilisation before use (Y/N),,No,,,,,
,Device labelled as sterile (Y/N),,Yes,,,,,
,Containing latex (Y/N),,No,,,,,
,CMR/Endocrine disruptor,"Labelled for presence of Carcinogenic, Mutagenic and toxic to Reproduction (CMR) substances of category 1A or 1B: (Y/N)",No,,,,,
,,Labelled for presence of substance(s) with endocrine-disrupting properties: (Y/N),No,,,,,
,"Storage/handling conditions, if applicable (Y/N)",,Yes,"Storage/handling conditions type: (list, single choice)",,,,
,"Storage/handling conditions, if applicable (Y/N)",,,Description: (text),,,,
,"Critical warnings or contra-indications, if applicable (Y/N)",,Yes,"Critical warning type: (list, single choice)",,,,
,,,,Description: (text),,,,
Device information,Reprocessed single use device (Y/N),,No,,,,,
,Intended purpose other than medical (Annex XVI) (Y/N),,No,,,,,
,Is the device designed and manufactured by another legal or natural person? (Y/N),,No,,,,,
,Clinical Investigation (Y/N),,No,,,,,
,Tissues and cells,"Presence of human tissues or cells, or their derivatives: (Y/N)",No,,,,,
,,"Presence of animal tissues or cells, or their derivatives: (Y/N)",No,,,,,
,Information on substances,"Presence of a substance which, if used separately, may be considered to be a medicinal product: (Y/N)",No,,,,,
,,"Presence of a substance which, if used separately, may be considered to be a medicinal product derived from human blood or human plasma: (Y/N)",No,,,,,
,Member State where the Device is to or has been first placed on the EU market:,,"(country list, single choice)",,,,,
,Member States where the device is or is to be made available on the market:,,From (date),,,,,
,,,To (date),,,,,
,,,(Select one or more countries),,,,,
